"«Бескудниково», Дмитровское шоссе (от центра)",Дмитровское шоссе
"«Баскетбольная школа», Дубнинская улица (от центра)",Дубнинская улица
"«Д/к Юность», Дубнинская улица (от центра)",Дубнинская улица
"«Мкр. Дубки», Дубнинская улица (от центра)",Дубнинская улица
"«Ин-т Стали», Дубнинская улица (от центра)",Дубнинская улица
"«Керамический пр.», Дубнинская улица (от центра)",Дубнинская улица
"«Платф. Лианозово (выс.)», Керамический проезд (от центра)",Керамический проезд
"«Ст. Ховрино (пос.)», Деповская улица (в центр)",Деповская улица
"«Весенняя ул.», Ангарская улица (от центра)",Ангарская улица
"«Мкр. Западное Дегунино», Ангарская улица (от центра)",Ангарская улица
"«Ангарская ул.», Коровинское шоссе (от центра)",Коровинское шоссе
"«Колледж № 7», Клязьминская улица (от центра)",Клязьминская улица
"«Ин-т Микрохирургии глаза», Коровинское шоссе (в центр)",Коровинское шоссе
"«Наб. Тараса Шевченко», набережная Тараса Шевченко (от центра)",набережная Тараса Шевченко
"«ВКНЦ», 3-я Черепковская улица (в центр)",3-я Черепковская улица
"«Новосущевская ул.», улица Сущёвский Вал (в центр)",улица Сущёвский Вал
"«Керамический пр.», Дубнинская улица (в центр)",Дубнинская улица
"«Ин-т Стали», Дубнинская улица (в центр)",Дубнинская улица
"«Мкр. Дубки», Дубнинская улица (в центр)",Дубнинская улица
"«Д/к Юность», Дубнинская улица (в центр)",Дубнинская улица
"«Баскетбольная школа», улица 800-летия Москвы (в центр)",улица 800-летия Москвы
"«ВИСХОМ», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Бескудниково», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Селигерская ул.», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«К/т Ереван», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Ильменский пр.», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Ин-т Цветметавтоматика», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«7-й автобусный парк», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Нижн. Лихоборы», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Метро Петровско-Разумовская», Локомотивный проезд (от центра)",Локомотивный проезд
"«К/т Байкал», Большая Академическая улица (в центр)",Большая Академическая улица
"«Стадион Наука», Большая Академическая улица (в центр)",Большая Академическая улица
"«Управа района Коптево», улица Зои и Александра Космодемьянских (в центр)",улица Зои и Александра Космодемьянских
"«К/т Рассвет - Техникум», улица Зои и Александра Космодемьянских (в центр) (1)",улица Зои и Александра Космодемьянских
"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (в центр) (1)",улица Зои и Александра Космодемьянских
"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских ( (от центра))(от центра)",улица Зои и Александра Космодемьянских
"«К/т Рассвет - Техникум», улица Зои и Александра Космодемьянских (от центра)",улица Зои и Александра Космодемьянских
"«Управа района Коптево», улица Зои и Александра Космодемьянских (от центра)",улица Зои и Александра Космодемьянских
